COUNTY,Total Population,Snap,Snap Recipients Per 1000
ADAMS,10705,,
ALLEN,46509,4543,9.768001892
ASHLAND,28214,,
ASHTABULA,48541,7070,14.5650069
ATHENS,27622,,
AUGLAIZE,28432,,
BELMONT,33010,3590,10.87549228
BROWN,19267,,
BUTLER,169771,16310,9.607058921
CARROLL,13315,,
CHAMPAIGN,19032,,
CLARK,57019,10789,18.92176292
CLERMONT,112955,,
CLINTON,18058,,
COLUMBIANA,51237,6543,12.77006851
COSHOCTON,17226,,
CRAWFORD,21528,,
CUYAHOGA,506038,92136,18.2073283
DARKE,25827,,
DEFIANCE,20245,,
DELAWARE,118862,3522,2.963100066
ERIE,40598,4405,10.85028819
FAIRFIELD,75686,6332,8.366144333
FAYETTE,11423,,
FRANKLIN,504611,61619,12.21118842
FULTON,24650,,
GALLIA,11423,,
GEAUGA,58690,1249,2.128130857
GREENE,81018,5281,6.518304574
GUERNSEY,18102,,
HAMILTON,353565,41619,11.77124433
HANCOCK,40887,,
HARDIN,13980,,
HARRISON,6934,,
HENRY,16343,,
HIGHLAND,19363,,
HOCKING,13377,,
HOLMES,21919,,
HURON,30508,,
JACKSON,14091,,
JEFFERSON,31947,,
KNOX,29276,,
LAKE,139928,7060,5.045451947
LAWRENCE,22997,,
LICKING,87042,8800,10.11006181
LOGAN,22650,,
LORAIN,163453,13138,8.037784562
LUCAS,183141,30220,16.50094736
MADISON,18938,,
MAHONING,115491,20086,17.3918314
MARION,26417,4630,17.52659272
MEDINA,117309,5249,4.474507497
MEIGS,9210,,
MERCER,28023,,
MIAMI,55377,4926,8.895389783
MONROE,5892,,
MONTGOMERY,209120,30247,14.46394415
MORGAN,5561,,
MORROW,16648,5672,34.07015858
MUSKINGUM,38124,7233,18.97230091
NOBLE,5376,,
OTTAWA,23950,,
PAULDING,9997,,
PERRY,16144,,
PICKAWAY,26322,,
PIKE,10622,,
PORTAGE,87981,5672,6.446846478
PREBLE,19159,,
PUTNAM,23065,,
RICHLAND,56866,7062,12.41866845
ROSS,32471,5729,17.64343568
SANDUSKY,30950,7634,24.80775444
SCIOTO,28321,7678,27.11062462
SENECA,28952,,
SHELBY,27161,,
STARK,197389,18491,9.367796584
SUMMIT,265947,32256,12.12873242
TRUMBULL,103555,11068,10.68804017
TUSCARAWAS,49862,5761,11.55388873
UNION,32880,1378,4.190997567
VAN WERT,15754,,
VINTON,4747,,
WARREN,123973,3389,2.733659748
WASHINGTON,28074,,
WAYNE,63409,3779,5.959721806
WILLIAMS,19846,,
WOOD,75610,4617,6.106335141
WYANDOT,10905,,
