"GEO_ID","NAME","T01001_001N","T01001_001NA","POPGROUP","POPGROUP_LABEL",
"Geography","Geographic Area Name"," !!Total","Annotation of  !!Total","Race/Ethnic Group","Population Groups",
"0500000US39001","Adams County, Ohio","10705","null","1002","European alone",
"0500000US39003","Allen County, Ohio","46509","null","1002","European alone",
"0500000US39005","Ashland County, Ohio","28214","null","1002","European alone",
"0500000US39007","Ashtabula County, Ohio","48541","null","1002","European alone",
"0500000US39009","Athens County, Ohio","27622","null","1002","European alone",
"0500000US39011","Auglaize County, Ohio","28432","null","1002","European alone",
"0500000US39013","Belmont County, Ohio","33010","null","1002","European alone",
"0500000US39015","Brown County, Ohio","19267","null","1002","European alone",
"0500000US39017","Butler County, Ohio","169771","null","1002","European alone",
"0500000US39019","Carroll County, Ohio","13315","null","1002","European alone",
"0500000US39021","Champaign County, Ohio","19032","null","1002","European alone",
"0500000US39023","Clark County, Ohio","57019","null","1002","European alone",
"0500000US39025","Clermont County, Ohio","112955","null","1002","European alone",
"0500000US39027","Clinton County, Ohio","18058","null","1002","European alone",
"0500000US39029","Columbiana County, Ohio","51237","null","1002","European alone",
"0500000US39031","Coshocton County, Ohio","17226","null","1002","European alone",
"0500000US39033","Crawford County, Ohio","21528","null","1002","European alone",
"0500000US39035","Cuyahoga County, Ohio","506038","null","1002","European alone",
"0500000US39037","Darke County, Ohio","25827","null","1002","European alone",
"0500000US39039","Defiance County, Ohio","20245","null","1002","European alone",
"0500000US39041","Delaware County, Ohio","118862","null","1002","European alone",
"0500000US39043","Erie County, Ohio","40598","null","1002","European alone",
"0500000US39045","Fairfield County, Ohio","75686","null","1002","European alone",
"0500000US39047","Fayette County, Ohio","11423","null","1002","European alone",
"0500000US39049","Franklin County, Ohio","504611","null","1002","European alone",
"0500000US39051","Fulton County, Ohio","24650","null","1002","European alone",
"0500000US39053","Gallia County, Ohio","11423","null","1002","European alone",
"0500000US39055","Geauga County, Ohio","58690","null","1002","European alone",
"0500000US39057","Greene County, Ohio","81018","null","1002","European alone",
"0500000US39059","Guernsey County, Ohio","18102","null","1002","European alone",
"0500000US39061","Hamilton County, Ohio","353565","null","1002","European alone",
"0500000US39063","Hancock County, Ohio","40887","null","1002","European alone",
"0500000US39065","Hardin County, Ohio","13980","null","1002","European alone",
"0500000US39067","Harrison County, Ohio","6934","null","1002","European alone",
"0500000US39069","Henry County, Ohio","16343","null","1002","European alone",
"0500000US39071","Highland County, Ohio","19363","null","1002","European alone",
"0500000US39073","Hocking County, Ohio","13377","null","1002","European alone",
"0500000US39075","Holmes County, Ohio","21919","null","1002","European alone",
"0500000US39077","Huron County, Ohio","30508","null","1002","European alone",
"0500000US39079","Jackson County, Ohio","14091","null","1002","European alone",
"0500000US39081","Jefferson County, Ohio","31947","null","1002","European alone",
"0500000US39083","Knox County, Ohio","29276","null","1002","European alone",
"0500000US39085","Lake County, Ohio","139928","null","1002","European alone",
"0500000US39087","Lawrence County, Ohio","22997","null","1002","European alone",
"0500000US39089","Licking County, Ohio","87042","null","1002","European alone",
"0500000US39091","Logan County, Ohio","22650","null","1002","European alone",
"0500000US39093","Lorain County, Ohio","163453","null","1002","European alone",
"0500000US39095","Lucas County, Ohio","183141","null","1002","European alone",
"0500000US39097","Madison County, Ohio","18938","null","1002","European alone",
"0500000US39099","Mahoning County, Ohio","115491","null","1002","European alone",
"0500000US39101","Marion County, Ohio","26417","null","1002","European alone",
"0500000US39103","Medina County, Ohio","117309","null","1002","European alone",
"0500000US39105","Meigs County, Ohio","9210","null","1002","European alone",
"0500000US39107","Mercer County, Ohio","28023","null","1002","European alone",
"0500000US39109","Miami County, Ohio","55377","null","1002","European alone",
"0500000US39111","Monroe County, Ohio","5892","null","1002","European alone",
"0500000US39113","Montgomery County, Ohio","209120","null","1002","European alone",
"0500000US39115","Morgan County, Ohio","5561","null","1002","European alone",
"0500000US39117","Morrow County, Ohio","16648","null","1002","European alone",
"0500000US39119","Muskingum County, Ohio","38124","null","1002","European alone",
"0500000US39121","Noble County, Ohio","5376","null","1002","European alone",
"0500000US39123","Ottawa County, Ohio","23950","null","1002","European alone",
"0500000US39125","Paulding County, Ohio","9997","null","1002","European alone",
"0500000US39127","Perry County, Ohio","16144","null","1002","European alone",
"0500000US39129","Pickaway County, Ohio","26322","null","1002","European alone",
"0500000US39131","Pike County, Ohio","10622","null","1002","European alone",
"0500000US39133","Portage County, Ohio","87981","null","1002","European alone",
"0500000US39135","Preble County, Ohio","19159","null","1002","European alone",
"0500000US39137","Putnam County, Ohio","23065","null","1002","European alone",
"0500000US39139","Richland County, Ohio","56866","null","1002","European alone",
"0500000US39141","Ross County, Ohio","32471","null","1002","European alone",
